Zip Code,Confirmed Cases
33010,3758
33012,5980
33013,2552
33014,2765
33015,4288
33016,4153
33018,3926
33030,3354
33031,306
33032,3070
33033,4023
33034,1641
33035,760
33039,6
33054,2108
33055,3260
33056,2330
33109,32
33122,150
33125,6384
33126,3941
33127,1776
33128,2813
33129,556
33130,2177
33131,766
33132,879
33133,1688
33134,1720
33135,2681
33136,2986
33137,1284
33138,1037
33139,1569
33140,1218
33141,1420
33142,5149
33143,2293
33144,2082
33145,1806
33146,719
33147,3459
33149,653
33150,1620
33154,485
33155,2687
33156,1712
33157,4313
33158,211
33160,1529
33161,2659
33162,2166
33165,4362
33166,1883
33167,1084
33168,1323
33169,2202
33170,1031
33172,3168
33173,1601
33174,2202
33175,3786
33176,2713
33177,3866
33178,4826
33179,2210
33180,1499
33181,861
33182,880
33183,2201
33184,1526
33185,1708
33186,3295
33187,1140
33189,1207
33190,808
33193,2751
33194,945
33196,2779
33199,15
