Zip Code,Confirmed Cases
30004,964
30005,549
30009,484
30022,1281
30023,<10
30024,16
30075,1139
30076,1146
30080,<10
30097,285
30098,-
30135,<10
30138,<10
30139,-
30213,1122
30268,204
30291,793
30296,57
30301,11
30303,375
30305,835
30306,353
30307,203
30308,586
30309,843
30310,759
30311,805
30312,830
30313,316
30314,575
30315,901
30316,392
30318,1789
30319,156
30321,10
30324,951
30326,248
30327,593
30328,866
30331,1824
30334,13
30336,86
30337,349
30338,135
30339,265
30340,35
30341,31
30342,1250
30344,940
30345,27
30349,1868
30350,654
30354,442
30358,<10
30363,68
30374,31
30606,<10
31131,<10
31150,<10
