Zip Code,Confirmed Cases
77002,872
77003,379
77004,824
77005,260
77006,509
77007,914
77008,713
77009,1396
77010,13
77011,968
77012,991
77013,648
77014,975
77015,2356
77016,1055
77017,1610
77018,594
77019,525
77020,1151
77021,900
77022,1165
77023,1313
77024,682
77025,550
77026,887
77027,386
77028,716
77029,858
77030,434
77031,678
77032,787
77033,1167
77034,1763
77035,1318
77036,3241
77037,830
77038,1144
77039,1207
77040,1618
77041,1088
77042,1045
77043,833
77044,1759
77045,1542
77046,40
77047,1161
77048,762
77049,1407
77050,138
77051,661
77053,739
77054,643
77055,1728
77056,503
77057,1190
77058,413
77059,258
77060,1721
77061,1284
77062,550
77063,1181
77064,1585
77065,953
77066,945
77067,1026
77068,282
77069,331
77070,1262
77071,983
77072,2355
77073,1779
77074,1725
77075,1560
77076,1431
77077,1850
77078,642
77079,684
77080,1797
77081,1911
77082,1557
77083,1441
77084,4144
77085,833
77086,1287
77087,1951
77088,2068
77089,2014
77090,1200
77091,1075
77092,1248
77093,2151
77094,184
77095,1641
77096,862
77098,303
77099,2196
77336,210
77338,1466
77339,363
77345,148
77346,1683
77354,5
77355,1
77357,3
77362,1
77365,8
77373,1528
77375,1261
77377,649
77379,1519
77380,3
77381,2
77382,1
77386,9
77388,989
77389,658
77396,2188
77401,229
77407,18
77429,1728
77433,2210
77447,369
77449,4486
77450,1032
77477,59
77484,96
77489,233
77493,1386
77494,202
77498,9
77502,2120
77503,1159
77504,1187
77505,807
77506,1862
77507,23
77520,1569
77521,2133
77523,42
77530,1343
77532,1010
77535,6
77536,1111
77546,292
77547,447
77562,270
77565,1
77571,1091
77573,12
77581,55
77584,22
77586,478
77587,967
77598,666
