Zip Code,Confirmed Cases
60002,272
60004,804
60005,517
60007,671
60008,645
60010,645
60012,173
60013,335
60014,817
60015,444
60016,"1,738"
60018,"1,046"
60020,144
60021,66
60022,92
60025,789
60026,293
60029,23
60030,543
60031,820
60033,512
60034,28
60035,487
60040,258
60041,138
60042,124
60043,43
60044,208
60045,269
60046,571
60047,887
60048,411
60050,480
60051,328
60053,553
60056,"1,154"
60060,846
60061,406
60062,645
60064,"1,346"
60067,759
60068,715
60069,179
60070,453
60071,57
60072,8
60073,"2,086"
60074,941
60076,906
60077,671
60079,17
60081,143
60083,221
60084,320
60085,"3,785"
60087,"1,211"
60088,559
60089,614
60090,"1,287"
60091,380
60093,343
60096,137
60097,149
60098,745
60099,"1,082"
60101,"1,432"
60102,597
60103,875
60104,717
60106,810
60107,"1,276"
60108,671
60109,20
60110,"1,368"
60112,98
60115,"1,011"
60118,265
60119,150
60120,"2,212"
60121,7
60123,"1,641"
60124,452
60126,"1,073"
60129,7
60130,331
60131,686
60133,"1,338"
60134,568
60135,136
60136,179
60137,661
60139,"1,132"
60140,334
60141,32
60142,413
60143,349
60145,37
60146,55
60148,960
60150,22
60151,50
60152,195
60153,829
60154,403
60155,275
60156,490
60157,40
60159,6
60160,"1,233"
60161,6
60162,263
60163,217
60164,924
60165,264
60168,7
60169,747
60171,286
60172,556
60173,245
60174,657
60175,502
60176,403
60177,711
60178,291
60180,15
60181,650
60184,55
60185,"1,258"
60187,422
60188,"1,060"
60189,428
60190,175
60191,427
60192,194
60193,705
60194,358
60195,59
60201,601
60202,647
60203,70
60301,63
60302,506
60304,216
60305,184
60401,181
60402,"2,771"
60403,462
60404,381
60406,981
60407,13
60408,97
60409,"1,179"
60410,249
60411,"1,849"
60415,465
60416,159
60417,395
60418,256
60419,704
60420,44
60421,44
60422,225
60423,611
60424,24
60425,291
60426,858
60428,385
60429,445
60430,478
60431,623
60432,808
60433,584
60434,308
60435,"1,476"
60436,549
60438,953
60439,493
60440,"1,562"
60441,688
60442,176
60443,709
60444,16
60445,484
60446,"1,118"
60447,201
60448,411
60449,185
60450,353
60451,573
60452,661
60453,"1,876"
60454,8
60455,676
60456,108
60457,371
60458,409
60459,"1,036"
60460,11
60461,119
60462,"1,028"
60463,445
60464,199
60465,628
60466,756
60467,575
60468,114
60469,225
60470,7
60471,403
60472,132
60473,779
60474,10
60475,216
60476,85
60477,847
60478,561
60479,6
60480,123
60481,196
60482,253
60484,217
60487,598
60490,379
60491,490
60501,535
60502,362
60503,218
60504,754
60505,"2,881"
60506,"1,891"
60507,11
60510,445
60511,16
60512,15
60513,414
60514,191
60515,410
60516,419
60517,618
60518,34
60520,40
60521,421
60523,223
60525,773
60526,246
60527,670
60531,28
60532,366
60534,371
60537,10
60538,676
60539,6
60540,513
60541,26
60542,389
60543,692
60544,576
60545,334
60546,359
60548,300
60549,7
60550,17
60551,72
60552,50
60553,9
60554,167
60555,286
60556,21
60558,276
60559,625
60560,393
60561,363
60563,545
60564,669
60565,513
60585,392
60586,"1,072"
60598,7
60601,235
60602,27
60603,14
60604,35
60605,423
60606,83
60607,794
60608,"2,898"
60609,"2,740"
60610,752
60611,526
60612,"1,052"
60613,908
60614,"1,360"
60615,703
60616,913
60617,"2,437"
60618,"2,481"
60619,"1,511"
60620,"1,796"
60621,819
60622,"1,311"
60623,"4,737"
60624,"1,293"
60625,"2,425"
60626,"1,516"
60628,"1,823"
60629,"5,858"
60630,"1,510"
60631,753
60632,"5,010"
60633,607
60634,"2,848"
60636,"1,163"
60637,"1,006"
60638,"2,360"
60639,"5,134"
60640,"1,376"
60641,"2,741"
60642,439
60643,"1,320"
60644,"1,711"
60645,"1,549"
60646,655
60647,"2,505"
60649,"1,231"
60650,6
60651,"2,680"
60652,"1,861"
60653,826
60654,421
60655,746
60656,737
60657,"1,120"
60659,"1,225"
60660,823
60661,190
60680,13
60706,801
60707,"1,467"
60712,379
60714,"1,270"
60803,605
60804,"5,080"
60805,491
60827,604
60901,"1,379"
60910,6
60911,20
60912,7
60913,17
60914,712
