TractFIPS_1,PlaceName_1,Population2010,TractFIPS,BINGE_CrudePrev,CSMOKING_CrudePrev,LPA_CrudePrev,OBESITY_CrudePrev,SLEEP_CrudePrev,ARTHRITIS_CrudePrev,CASTHMA_CrudePrev,BPHIGH_CrudePrev,CANCER_CrudePrev,HIGHCHOL_CrudePrev,KIDNEY_CrudePrev,COPD_CrudePrev,CHD_CrudePrev,DIABETES_CrudePrev,MHLTH_CrudePrev,PHLTH_CrudePrev,TEETHLOST_CrudePrev,STROKE_CrudePrev,ACCESS2_CrudePrev,CHECKUP_CrudePrev,DENTAL_CrudePrev,BPMED_CrudePrev,CHOLSCREEN_CrudePrev,MAMMOUSE_CrudePrev,PAPTEST_CrudePrev,COLON_SCREEN_CrudePrev,COREM_CrudePrev,COREW_CrudePrev
13089020100,"Atlanta, GA",1492,13089020100,19.6,9.6,18,21.5,29.8,16.1,7.1,22.6,6.1,28.1,2,3.5,3.4,5.9,8.1,6.7,4.8,1.7,10,71.2,84.8,70.8,87.3,80.2,87,74.9,45,42.5
13089020200,"Atlanta, GA",1943,13089020200,21.2,10.4,18,20.8,30.8,14.7,7.5,21.2,5.5,25.6,1.9,3.4,3.2,5.5,8.8,6.3,5.7,1.6,10.3,69.8,81.9,69.5,83.7,79.9,87,74.4,44.1,42.3
13089020300,"Atlanta, GA",3574,13089020300,21,11.3,18,22.4,31.7,14.3,7.6,20.6,5,25.4,1.8,3.4,2.8,5.3,9.1,6.7,5.6,1.5,10.1,69.3,82.7,66.4,85.4,80.4,88,72.3,42.1,40.7
13089020400,"Atlanta, GA",2376,13089020400,22.7,10.3,17,21,30.9,12,7.5,17.6,4.2,22.4,1.6,2.7,2.2,4.2,8.8,5.7,4.2,1.2,9.6,68,84.2,62.3,83.6,80.5,88,74.2,43.4,42.5
13089020500,"Atlanta, GA",2802,13089020500,16.8,17.2,28,30,39.3,18.8,9.4,32.8,5.4,27.3,3.1,5.4,4.8,10.9,12,10,17.8,3.5,19.4,74.3,65.9,76,81.4,81.6,86,68.3,29.3,28.8
13089020600,"Atlanta, GA",2000,13089020600,17.3,19.1,29,31.6,40.9,15.4,9.5,28.2,3.9,24,2.7,4.9,3.7,8.9,13.6,9.9,20.5,2.8,19.5,71.3,61.9,69.1,78.1,82.6,86,63.3,27,26.5
13089020700,"Atlanta, GA",2032,13089020700,17.6,16.6,26,29.1,38.5,16.9,9.3,29.5,4.7,25.7,2.7,4.8,4,9.2,11.8,9.3,14.7,2.9,17.2,73.1,69.7,73,81.7,82.3,87,68.5,30.3,30.3
13089020801,"Atlanta, GA",2444,13089020801,18.3,14.9,24,27.1,36.7,17.4,8.8,29.3,5.4,26.1,2.7,4.5,4.1,9,10.7,8.6,13.6,2.9,15.6,73,72.3,74.7,83.1,81.3,87,71.2,31.9,31.6
13089020802,"Atlanta, GA",3945,13089020802,15.4,17.6,30,31.8,39.6,20.2,9.7,34.8,5.5,28.6,3.3,5.9,5.1,11.7,12.2,10.7,15.9,3.7,19,75.7,67.6,76.8,83.2,82.2,87,68.9,29.9,29.8
13089020900,"Atlanta, GA",5402,13089020900,18.1,16.8,27,28.9,38.1,18.3,8.9,31.9,5.3,27.5,2.8,5.1,4.5,10.2,11.1,9.3,13.5,3.1,18.1,73.9,71.1,75.4,82.9,82.1,86,72.3,31.2,32
