TractFIPS_1,PlaceName_1,Population2010,TractFIPS,BINGE_CrudePrev,CSMOKING_CrudePrev,LPA_CrudePrev,OBESITY_CrudePrev,SLEEP_CrudePrev,ARTHRITIS_CrudePrev,CASTHMA_CrudePrev,BPHIGH_CrudePrev,CANCER_CrudePrev,HIGHCHOL_CrudePrev,KIDNEY_CrudePrev,COPD_CrudePrev,CHD_CrudePrev,DIABETES_CrudePrev,MHLTH_CrudePrev,PHLTH_CrudePrev,TEETHLOST_CrudePrev,STROKE_CrudePrev,ACCESS2_CrudePrev,CHECKUP_CrudePrev,DENTAL_CrudePrev,BPMED_CrudePrev,CHOLSCREEN_CrudePrev,MAMMOUSE_CrudePrev,PAPTEST_CrudePrev,COLON_SCREEN_CrudePrev,COREM_CrudePrev,COREW_CrudePrev
25025000100,"Boston, MA",4254,25025000100,25.9,17.2,22,21.8,34.5,14.3,10.5,19.1,4.2,25.6,2.1,4.5,3.4,6.3,14.3,9.6,15.7,1.9,10,68.5,66.7,64.3,71.7,81.3,84,63.4,29,29
25025000201,"Boston, MA",3854,25025000201,28.7,13.2,17,19.2,31.8,12.1,10.1,15.8,3.9,22.7,1.7,3.2,2.5,4.7,12.3,7.2,9.3,1.4,6.7,68.4,75.6,61.7,73.6,84.4,86,68.5,31.7,31.8
25025000202,"Boston, MA",3885,25025000202,24.8,15.8,21,21.7,33.9,15.3,10.2,20.2,4.5,27,2.2,4.4,3.6,7,13.5,9.5,13.4,2,8.6,69.8,69.5,67.4,74,82.8,85,63.6,29.1,29.8
25025000301,"Boston, MA",2740,25025000301,26.8,13,18,19.1,32.1,14.9,9.7,18.9,5.1,26.2,1.9,3.7,3.3,5.7,11.4,7.8,10.9,1.7,6.7,70.3,74.5,68.2,76.6,83,85,68.7,32.1,32
25025000302,"Boston, MA",3142,25025000302,26.8,12,17,17.9,31.4,14.1,9.6,17.7,4.8,25.3,1.9,3.4,3,5.4,11.4,7.3,10.5,1.6,6.3,70,74.7,67.6,75.5,83.4,84,69.5,31.6,31.9
25025000401,"Boston, MA",5672,25025000401,23,13.3,21,18.3,31.3,17,9.9,22.1,5.9,28.5,2.7,4.6,4.9,7.7,12.6,9.2,13.4,2.5,8,71.1,70.1,73.6,73,80.3,83,67.2,28.6,28.2
25025000402,"Boston, MA",3648,25025000402,28.4,11.8,16,17.5,31.8,10.7,9.6,14.6,3.4,21.6,1.6,2.8,2.3,4.4,12.1,6.5,9.9,1.2,6,67.8,73.7,60.9,71.3,83.5,84,67.5,29.6,30.5
25025000502,"Boston, MA",6303,25025000502,29.4,12.7,17,16.4,31.3,8.1,11,11,2.4,16,1.4,2.7,1.7,2.9,15.2,6.3,13.1,1,7,67,73.7,50,63.6,82.2,81,68.3,31.2,30.2
25025000503,"Boston, MA",2211,25025000503,29.1,11.5,15,17.7,31.4,10.1,9.8,13.2,3.4,19.4,1.5,2.5,1.9,3.5,11.9,6.1,9.4,1.1,5.4,67.1,75.8,56.9,71.8,84.3,86,69.8,31.7,30.2
25025000504,"Boston, MA",4985,25025000504,24.6,12.5,19,18.6,30.7,14.7,10.4,18.7,5.1,24.7,2.3,4,3.9,5.8,13.2,8.2,13,2,7,69.9,72,69.4,71.4,82.9,84,68.2,29.8,27.8
25025000601,"Boston, MA",3571,25025000601,26.6,13.2,18,18.6,32.3,14.1,9.7,18.2,4.8,25.3,2,3.6,3.2,5.7,11.9,7.8,11.4,1.7,7.2,69.5,72.5,67,74.2,82,84,66.9,30.1,31.2
25025000602,"Boston, MA",3974,25025000602,22.1,16.3,24,22.8,35.1,16.2,10.7,22.1,4.7,28,2.7,5.1,4.3,8.3,14.9,10.6,17.9,2.5,9.6,70.3,62.1,69.9,71.2,82.6,83,60.3,25.5,25.5
25025000701,"Boston, MA",4446,25025000701,28.5,12.7,17,17.9,32,8.3,10,12.4,2.5,18,1.4,2.5,1.7,3.6,13.2,6.3,10.4,1,6.7,66.2,71.9,51.9,67.9,84.2,84,65,28.4,29.1
