TractFIPS_1,PlaceName_1,Population2010,TractFIPS,BINGE_CrudePrev,CSMOKING_CrudePrev,LPA_CrudePrev,OBESITY_CrudePrev,SLEEP_CrudePrev,ARTHRITIS_CrudePrev,CASTHMA_CrudePrev,BPHIGH_CrudePrev,CANCER_CrudePrev,HIGHCHOL_CrudePrev,KIDNEY_CrudePrev,COPD_CrudePrev,CHD_CrudePrev,DIABETES_CrudePrev,MHLTH_CrudePrev,PHLTH_CrudePrev,TEETHLOST_CrudePrev,STROKE_CrudePrev,ACCESS2_CrudePrev,CHECKUP_CrudePrev,DENTAL_CrudePrev,BPMED_CrudePrev,CHOLSCREEN_CrudePrev,MAMMOUSE_CrudePrev,PAPTEST_CrudePrev,COLON_SCREEN_CrudePrev,COREM_CrudePrev,COREW_CrudePrev
17031010100,"Chicago, IL",4854,17031010100,20.6,20.3,28,36.4,39,20.3,10,31.9,4.5,28.2,3,6.5,4.8,10.7,14.2,12.3,16.2,3.1,14.6,68.6,54.7,70.3,82.2,79.8,87,54.5,29.4,23.8
17031010201,"Chicago, IL",6450,17031010201,21,22.5,30,36.2,39,18.9,9.9,30.2,4,27.8,3,6.8,4.8,10.8,15.3,13.3,18.3,3.1,20.4,66,50.3,67.5,79.6,78.6,86,50.5,28,22.1
17031010202,"Chicago, IL",2818,17031010202,21,20.1,28,33.9,36.8,22,9.5,32.9,5.3,30.4,3.2,7.3,5.8,11.6,13.4,12.9,17,3.5,18.4,68.2,55.6,72.4,82.5,78.4,86,56.5,31.2,24.2
17031010300,"Chicago, IL",6236,17031010300,21,19,27,31.8,35.1,22.8,9.1,32.5,6.1,31,3.3,7.3,6.2,10.8,12.8,12.5,15.4,3.5,15.9,68.3,59.7,73.3,83,77,86,59.3,33.6,25.2
17031010400,"Chicago, IL",5042,17031010400,25.3,15.1,21,25,32.2,13.1,9.1,19.5,3.3,21.5,2,4.3,3,5.7,13.6,8.3,10.8,1.7,11.3,62.8,65.7,62.2,74.7,78.6,84,58.7,35.3,27.4
17031010501,"Chicago, IL",4091,17031010501,22.4,16.6,24,30.5,35.1,17.4,8.8,27,4.6,26.2,2.6,5.2,4.4,8.4,12.3,9.9,11.9,2.5,12.9,66.1,61.1,68.3,80.9,79,86,58.9,34.1,26.4
17031010502,"Chicago, IL",3101,17031010502,25.6,17.3,22,29.3,35.9,14.3,9,22.6,3.4,23.1,2.2,4.6,3.2,6.7,13.3,9.3,13.5,1.9,12.5,62.9,57.4,62.2,77.6,79.2,85,54.1,30.8,25.6
17031010503,"Chicago, IL",2290,17031010503,19,18.9,30,28.8,33.5,22.8,9.5,32.5,6,32.8,4,8.7,8.1,13,15.5,13.8,19.8,4.3,16.3,67.1,52.2,76.5,75.5,74.4,79,54.1,28.3,21
17031010600,"Chicago, IL",6097,17031010600,24.3,17.4,23,30.5,34.6,16.9,8.8,25.7,4.2,26,2.4,5.1,4,8,12.6,9.9,11.7,2.3,13.4,64.9,63.2,66.6,80.8,79,86,59.4,33.3,27.2
17031010701,"Chicago, IL",3864,17031010701,22.2,18.7,27,32.2,35.2,18.5,8.8,27.5,4.5,28.2,2.7,5.9,4.5,9.4,13,11.6,13.5,2.6,17.9,65.1,59.4,67.6,81.8,77,86,56.3,32.3,26.8
