TractFIPS_1,PlaceName_1,Population2010,TractFIPS,BINGE_CrudePrev,CSMOKING_CrudePrev,LPA_CrudePrev,OBESITY_CrudePrev,SLEEP_CrudePrev,ARTHRITIS_CrudePrev,CASTHMA_CrudePrev,BPHIGH_CrudePrev,CANCER_CrudePrev,HIGHCHOL_CrudePrev,KIDNEY_CrudePrev,COPD_CrudePrev,CHD_CrudePrev,DIABETES_CrudePrev,MHLTH_CrudePrev,PHLTH_CrudePrev,TEETHLOST_CrudePrev,STROKE_CrudePrev,ACCESS2_CrudePrev,CHECKUP_CrudePrev,DENTAL_CrudePrev,BPMED_CrudePrev,CHOLSCREEN_CrudePrev,MAMMOUSE_CrudePrev,PAPTEST_CrudePrev,COLON_SCREEN_CrudePrev,COREM_CrudePrev,COREW_CrudePrev
48157670101,"Houston, TX",6774,48157670101,15.2,23,43,42.5,40.1,20.9,10.2,37.5,3.9,33.7,3.6,6.6,5.7,15.9,17.6,16.8,22.5,3.8,40.4,67.7,42.4,71.3,74.3,79.2,81,49.7,21,21.7
48157670102,"Houston, TX",3383,48157670102,15.5,19.8,37,42.1,40.7,21.3,10.2,39.4,4.2,32.2,3.2,5.5,4.9,14.7,14.9,13.7,16.6,3.6,28.9,72.2,53.7,74.1,79.9,81.6,83,58.7,25,27.1
48157670200,"Houston, TX",8322,48157670200,15.9,19.4,36,41.1,40.6,21.5,10.1,39,4.3,32.7,3.2,5.6,5,14.7,14.7,13.8,18.4,3.5,29.4,71.8,50.4,74.3,79.8,81.7,83,55.9,24.8,25.3
48157670300,"Houston, TX",3801,48157670300,14.2,19,36,42.8,40,24.7,10.5,44.4,5.1,34.9,3.7,6.3,6,16.8,14.2,14.2,15.7,4.4,25.3,75.1,56.7,78.2,82,83.1,84,63.8,25.4,28.2
48157670400,"Houston, TX",5058,48157670400,15,16.4,32,40.2,40.4,22.4,10.3,41.2,4.8,32.2,3.1,5,4.8,14.3,12.8,11.8,14.3,3.6,21.1,75.9,58.4,77.1,83.3,83.6,85,64.1,25.5,28.7
48157670601,"Houston, TX",3239,48157670601,15.4,16.2,30,39.9,40.1,22.4,10.5,41.6,4.9,32.1,3,4.9,4.5,13.8,12.4,11.5,11.7,3.4,19.3,76.7,63.4,77,84.5,84,85,66.1,28.3,31.1
48157670602,"Houston, TX",1907,48157670602,14.9,20.7,38,42.6,41.3,22.8,10.8,41.6,4.4,33.3,3.4,6.3,5.3,15.7,15.5,14.7,18.3,4,28.6,73.3,51.8,75.4,79.6,82.1,83,57,24.7,26
48157670700,"Houston, TX",1506,48157670700,15.9,14.2,28,37.7,39.2,20.3,10.1,38.3,4.6,30.2,2.7,4.1,3.8,12,11.4,10.1,10.6,2.9,17.3,76.3,65.5,75.4,84.8,84.3,86,66.9,29.6,32.9
48157672001,"Houston, TX",2076,48157672001,15.4,14.3,30,29.6,35.5,18.6,8.1,31.7,4.8,32.3,2.7,4.3,4.4,11.8,11.6,10.8,11.2,2.6,23,69,61.6,73.8,80,79.6,80,60.6,31.8,31.1
48157672400,"Houston, TX",146,48157672400,14.3,16.8,32,32.5,39.8,18.6,8.8,35.3,3.8,32.9,2.7,4.6,4.4,13.6,12.6,11.9,11.9,2.9,21.6,71.3,57.6,74.4,80.6,77.7,79,53.3,24,30.5
