TractFIPS_1,PlaceName_1,Population2010,TractFIPS,BINGE_CrudePrev,CSMOKING_CrudePrev,LPA_CrudePrev,OBESITY_CrudePrev,SLEEP_CrudePrev,ARTHRITIS_CrudePrev,CASTHMA_CrudePrev,BPHIGH_CrudePrev,CANCER_CrudePrev,HIGHCHOL_CrudePrev,KIDNEY_CrudePrev,COPD_CrudePrev,CHD_CrudePrev,DIABETES_CrudePrev,MHLTH_CrudePrev,PHLTH_CrudePrev,TEETHLOST_CrudePrev,STROKE_CrudePrev,ACCESS2_CrudePrev,CHECKUP_CrudePrev,DENTAL_CrudePrev,BPMED_CrudePrev,CHOLSCREEN_CrudePrev,MAMMOUSE_CrudePrev,PAPTEST_CrudePrev,COLON_SCREEN_CrudePrev,COREM_CrudePrev,COREW_CrudePrev
12086001002,"Miami, FL",364,12086001002,16.1,23,36,34.7,40.6,15.7,9.9,28.5,3.4,25.8,2.9,6.2,4.3,10.3,17.5,13.6,19.9,3.1,33.2,74.4,50.7,66.1,75,85.3,82,48.1,18.2,17.9
12086001004,"Miami, FL",347,12086001004,12.9,30.6,44,42.6,45.2,21.3,11.4,38.3,3.9,30.6,4.2,10.3,6.8,15.4,21.5,19.2,36.1,5.3,35.4,76.4,38.9,72.9,75.1,86.6,81,39.8,14.7,15.5
12086001301,"Miami, FL",4544,12086001301,13.8,24.7,39,37.3,38.8,22.6,9.1,37,5.1,34.9,4.2,9.9,8.3,15.7,17.5,18.2,22.7,4.9,32.8,74.4,49.6,75.4,78.9,84.2,81,46.6,20.3,18.6
12086001302,"Miami, FL",5527,12086001302,17.8,17.1,28,29.7,34.3,17.6,7.6,28.4,4.9,30.1,2.8,5.9,5.2,9.8,12.6,11.6,11.9,2.9,23.5,73.1,66.7,71.3,82.2,85.1,84,58.2,27.2,26.3
12086001401,"Miami, FL",4703,12086001401,11.3,28.5,44,42,43.9,26.8,11.4,45,5.7,35.5,5.3,12.4,10,19.2,19.9,20.6,34.9,7.2,33.1,79.5,39.8,79,78.5,84.2,82,45.1,15.9,15.8
12086001402,"Miami, FL",4853,12086001402,12,30.3,44,42.1,44.5,25.1,11.5,42.8,4.9,34.6,4.9,12.3,9.1,18.1,20.9,20.7,34.3,6.6,34.1,78,38.5,77.1,76.7,85,81,43.7,15.3,15.7
12086001501,"Miami, FL",3479,12086001501,11.4,34.4,48,45,47,22.7,12.7,40.7,3.9,31.2,4.8,12.4,7.8,16.8,24.6,21.8,43.4,6.4,38.1,77.2,32.3,73.3,72,84.7,82,38,13.7,13.7
12086001502,"Miami, FL",71,12086001502,9.9,36,50,48.4,48,30.1,12.5,51.6,5,37.8,5.6,15.4,10.7,22.7,23,25.3,38.3,8.5,33.7,80.8,36.8,81.8,80.7,85.7,81,40.1,13,12.8
12086001703,"Miami, FL",458,12086001703,15.4,25.3,44,36.9,37.7,15.3,8.3,26.4,3.2,29.5,3.5,7.1,5.7,12.7,20.3,17.9,23.3,3.1,49.1,66.8,41.1,63.8,69.5,82.3,79,36,18,14.7
12086001801,"Miami, FL",592,12086001801,11.3,27.3,44,42.1,45,25.9,10.9,44.7,5.5,34,5,11.3,9.1,18.3,19.1,19.6,38.1,7,32.1,79.8,38.6,79.3,79.5,86.2,82,42.6,14.6,13.6
12086001802,"Miami, FL",2176,12086001802,12.5,26.6,42,40.6,42.9,24.6,10.6,42.7,5.3,33.7,4.6,10.5,8.2,17.2,18,18.4,29.7,6.1,32.6,78.9,47.1,78.1,80,85.4,83,48,18.6,18.6
12086001901,"Miami, FL",4010,12086001901,12.4,27,41,40.5,43.4,24,11.2,41.8,5.1,32.4,4.5,10.4,7.9,16.4,18.8,18,28.6,6,31.3,79.5,47.1,77.1,78.7,85.3,82,49.2,17.7,18
12086001903,"Miami, FL",2815,12086001903,12.9,25.6,39,39.8,44.8,23,10.8,40.6,4.9,31.3,4.2,9.4,7.1,15.3,17.8,16.8,32.6,5.5,29.2,79.6,43,76.7,79.8,85.5,82,46.5,16.6,16.5
12086001904,"Miami, FL",3932,12086001904,11.1,29.7,46,43.4,44.6,27.8,11.6,46.7,5.7,35.6,5.4,12.9,10,19.9,20.2,21.2,35.4,7.7,33.9,80.1,40.6,79.9,78.9,84.9,82,46.4,15.9,16.2
12086002001,"Miami, FL",3781,12086002001,11,31.6,47,44.4,45.2,29,11.7,48.1,5.7,37.7,5.7,14.3,11.1,21.4,21,23.1,36.7,8,34.9,79.5,36.7,80.1,78.9,84.5,81,43.3,15.1,14.9
12086002003,"Miami, FL",3336,12086002003,11.2,32.6,48,44.5,44.6,27.3,11.5,46.1,5.3,37,5.5,14,10.7,20.8,21.8,23.3,36.3,7.7,37.7,78,37,78.7,77,84.5,81,42.8,14.9,15.7
12086002004,"Miami, FL",2909,12086002004,12.3,30.3,45,41.6,43.6,25.6,11,43,5.1,35.9,4.9,12.4,9.5,19,20.3,21.3,34,6.6,38.7,77,39.2,77.6,77.1,84.5,80,44.3,15.8,16
12086002100,"Miami, FL",2453,12086002100,16,15.6,28,29,32.9,20.3,7.1,30.4,6,33.6,3.1,6.4,6.3,10.9,11.9,12.2,11.4,3.2,20.6,74,66.9,75,84.5,84.8,83,56.4,27.9,25
12086002201,"Miami, FL",3573,12086002201,15.7,17.9,33,30.4,35.3,22,8.1,33.8,6.5,32,3.8,7.6,7.5,12.4,13.6,13.8,17.9,4.3,29,75.3,59.2,76.6,80.4,84.9,83,54.6,23.7,20.9
12086002202,"Miami, FL",5485,12086002202,12.5,24.8,41,39.5,41.3,24.8,10,41.8,5.5,35,4.8,10.4,9,17.9,17.5,18.4,28.7,6.2,33.3,77.9,45.9,78.5,79.5,85.1,82,48.5,17.5,17.6
12086002300,"Miami, FL",4963,12086002300,11.9,27.1,44,41.1,43.1,26.3,10.8,43.9,5.6,35,5.1,11.7,9.4,18.7,19,20,33.5,6.9,34.8,78.7,42.9,79.1,78.9,84.9,81,45.9,16.6,16.5
12086002402,"Miami, FL",5323,12086002402,14.5,22.3,43,36.7,36.9,18.9,7.6,31.6,4.3,34.3,4.1,7.7,7.7,16,17.4,18.4,23.2,3.9,46.3,69.9,42.9,71.3,75.6,82.4,81,38.9,17.4,15.3
