TractFIPS_1,PlaceName_1,Population2010,TractFIPS,BINGE_CrudePrev,CSMOKING_CrudePrev,LPA_CrudePrev,OBESITY_CrudePrev,SLEEP_CrudePrev,ARTHRITIS_CrudePrev,CASTHMA_CrudePrev,BPHIGH_CrudePrev,CANCER_CrudePrev,HIGHCHOL_CrudePrev,KIDNEY_CrudePrev,COPD_CrudePrev,CHD_CrudePrev,DIABETES_CrudePrev,MHLTH_CrudePrev,PHLTH_CrudePrev,TEETHLOST_CrudePrev,STROKE_CrudePrev,ACCESS2_CrudePrev,CHECKUP_CrudePrev,DENTAL_CrudePrev,BPMED_CrudePrev,CHOLSCREEN_CrudePrev,MAMMOUSE_CrudePrev,PAPTEST_CrudePrev,COLON_SCREEN_CrudePrev,COREM_CrudePrev,COREW_CrudePrev
6075010100,"San Francisco, CA",3739,06075010100,19.8,11.5,17,16.7,30.2,17.2,8,25.6,6,30,2.6,4,4.6,8.5,10.1,9.3,9,2.5,8.8,67.8,67.9,71,80.7,79.2,83,67.4,32.7,29
6075010200,"San Francisco, CA",4143,06075010200,25.2,8.3,11,16.9,25.7,16,7.9,21.3,6.4,26.9,2,3,3.5,5.3,8.6,6.8,4.4,1.7,4.9,65.6,80.4,66.9,82.9,82.2,88,77.4,40.9,36.9
6075010300,"San Francisco, CA",3852,06075010300,22.4,10.2,14,15.8,28.3,16.4,7.7,23.6,6.1,29.1,2.3,3.5,4,7.3,9.3,8.2,6.8,2.1,7,66.9,73.6,69.6,81.6,80,83,69.6,35,31.6
6075010400,"San Francisco, CA",4545,06075010400,22.9,9,13,16.1,27.6,15.9,7.4,22.8,6,28.8,2.1,3.1,3.7,6.6,8.5,7.4,5,1.8,5.8,66.8,77.8,68.4,83.3,81,85,73,38.2,35.1
6075010500,"San Francisco, CA",2685,06075010500,17.8,8.4,14,17.3,26.6,21.1,7.2,29.3,8.1,33.9,2.9,4.2,5.5,8.8,8.2,8.9,5.5,2.7,5.9,70.6,77.5,75,85.7,81.5,84,74.2,39.2,35.2
6075010600,"San Francisco, CA",3894,06075010600,16.9,15.4,22,17.2,33.2,18.3,7.8,29.9,5.3,34.4,3.2,5.3,6,12.4,11.9,12.4,13.4,3.3,12.3,67.4,57.4,73.2,78.1,77.1,77,57.8,26.7,24.3
6075010700,"San Francisco, CA",5592,06075010700,10.5,15.9,30,14.9,35.6,23.2,7.6,38.3,6.4,40.7,4.5,6.7,8.9,18.9,11.9,15.9,19.1,5.1,15.4,72.4,47.5,80.7,79.8,74.2,70,50.5,22.5,19.6
6075010800,"San Francisco, CA",4578,06075010800,19.7,10.5,16,14.6,29.7,15.9,7.5,24.2,5.7,29.7,2.4,3.4,4.1,8.3,9.5,8.5,8.3,2.2,7.8,67.5,69.4,71.3,80.8,78.6,81,65.7,32.8,29
6075010900,"San Francisco, CA",4320,06075010900,24.9,8.6,12,15.5,26.5,14,7.6,20.3,5.5,25.8,2,2.6,3.1,5.7,8.7,6.6,4.5,1.6,5.7,65.3,78.9,66.5,81.5,80.9,87,74,37.8,34
6075011000,"San Francisco, CA",4827,06075011000,22.5,9.9,14,13.4,28.9,12.7,7.5,20.4,4.6,26.5,2,2.6,3.1,6.9,9.1,7.1,5.5,1.7,7.5,65.9,75.2,67.3,79.9,79,82,68.6,34.5,32.3
6075011100,"San Francisco, CA",5164,06075011100,22.4,10.3,14,15.7,29.1,14.1,7.5,22.3,4.9,27.7,2.2,3.1,3.6,7.3,9.5,7.8,6.3,1.9,7.9,65.7,73.3,67.6,80,80.1,82,68.8,34.3,32
6075011200,"San Francisco, CA",3286,06075011200,19.5,8.9,14,15.5,27.5,17.6,7.4,25.7,6.7,30.8,2.6,3.5,4.6,8.1,8.7,8.2,6.3,2.3,6.6,68.8,74.7,72.9,83.1,80.7,84,70.4,35.9,31.6
6075011300,"San Francisco, CA",3143,06075011300,10.5,14.3,28,13.6,34,22.8,7.5,36.8,6.8,39.8,4.3,6.2,8.4,17.4,11,14.7,16.1,4.7,14.3,73,53,80.6,80.8,74.2,71,54.4,24.3,22.5
6075011700,"San Francisco, CA",1783,06075011700,18,14.3,20,18.2,32.5,17.6,8,28.5,5.2,32.5,2.9,4.9,5.4,11,11.5,11.5,10.7,3,11.3,67.3,63.7,71,79.2,77.7,78,61.5,29.8,28
6075011800,"San Francisco, CA",1500,06075011800,9.4,16.2,31,14.2,37,21.9,7.2,37.5,5.7,40.6,4.4,6.4,8.7,19.4,12,16,19.8,5,15.7,71.9,45.2,80.4,78.8,74.7,68,48.4,21.2,19.6
6075011901,"San Francisco, CA",2408,06075011901,23.3,9.5,13,16.7,27.9,15.2,7.7,22.1,5.5,27.2,2.2,3.3,3.7,6.6,9.6,7.7,6,1.9,6.7,65.7,75.3,67.4,79.3,81.6,84,71.9,36.9,32.7
6075011902,"San Francisco, CA",2598,06075011902,24,11.5,14,17.4,29.7,12.8,8,19.4,4.3,24.4,2,3.1,3,5.7,10.7,7.9,7.7,1.6,8.3,62.9,70.7,60.9,77.2,80.8,84,66.9,34.5,30.9
6075012000,"San Francisco, CA",3833,06075012000,21.6,14.7,19,20.1,32.3,15.7,8.3,24.7,4.7,28.5,2.5,4.6,4.7,8.4,12.5,10.5,12.1,2.5,11,64.1,61.8,66.1,75.6,80.5,81,62.1,30.6,26
6075012100,"San Francisco, CA",3833,06075012100,25.2,11.6,14,16.5,30.3,10.4,8.6,16.6,3.3,21,1.7,2.8,2.5,4.8,12,7.3,9.1,1.4,8.8,61.7,68.2,56.6,72.1,79.4,81,66.6,33.1,30.5
6075012201,"San Francisco, CA",4567,06075012201,23.8,13.2,17,19.7,32.3,13.8,7.7,22.9,4.2,26.9,2.2,3.6,3.8,7.7,11.2,9.2,11.5,2,11.5,63.7,61.9,63.7,77.1,79,81,61.6,29.6,26.5
6075012202,"San Francisco, CA",2986,06075012202,20.1,18.2,22,24.2,34.9,17.7,8.9,29.2,4.5,31,3,5.8,5.5,11,14.1,13.3,15.1,3.2,13.6,64.8,55.2,67.6,75.6,79.8,80,57.5,26.3,24.4
6075012301,"San Francisco, CA",2734,06075012301,15.7,21.2,30,26.7,36.5,24.3,9.1,38.7,6.1,38.3,4.8,9.2,10,17.3,15.9,18.8,27.1,5.6,18.4,67.5,41,75,75.7,75.2,78,49,21.8,18.4
6075012302,"San Francisco, CA",3073,06075012302,22.4,11.1,15,18,30.2,12.7,7.8,21.5,3.9,25.6,2.1,3.2,3.5,7,10.8,8.1,7.3,1.9,8.4,63.9,69.4,64.2,75.9,81.5,82,66.2,32.9,30.4
6075012401,"San Francisco, CA",5075,06075012401,20.6,17.7,24,24.3,34.7,17.2,8.4,29.1,4.5,31.2,3.1,5.7,5.7,11.4,13.8,13.4,17.4,3.2,17.5,64.2,52.3,67.4,75,77.3,79,55.8,25.5,23.2
6075012402,"San Francisco, CA",3974,06075012402,22.1,12,17,20.2,30.6,15.7,7.8,25.6,5.1,28.8,2.6,4,4.7,8.5,10.9,9.5,10.3,2.5,9.8,65.3,65.7,68,78,80.1,83,64.3,31.7,27.8
6075012501,"San Francisco, CA",5335,06075012501,16.8,21.3,28,29.2,37.3,23.4,9.2,38.5,5.6,37.3,4.3,8.5,8.9,16.2,15.5,17.8,23.1,5,15.4,67.5,44.4,73.6,78.4,77.9,80,50.5,21.8,19.6
6075012502,"San Francisco, CA",3821,06075012502,13.3,21,33,26.4,37.1,27.3,9,44,6.7,41.9,5.4,9.9,11.5,21.2,15.1,20.3,25.5,6.6,19.9,70.9,40.1,78.6,79,74.7,77,49,20.5,18.3
6075012601,"San Francisco, CA",2329,06075012601,28.3,8.4,10,15.8,25.6,12.6,7.9,16.8,5.1,22.3,1.6,2.3,2.4,3.8,8.7,5.8,3.7,1.3,5,63,82.6,59.9,80.9,82,88,77.1,42,39
6075012602,"San Francisco, CA",2909,06075012602,27.1,8.5,11,16.6,25.5,14.3,7.7,19.3,5.8,24.8,1.8,2.6,3,4.6,8.5,6.3,3.9,1.5,4.8,64.1,81.9,63.4,82.2,81.8,89,77.1,42.4,38.2
6075012700,"San Francisco, CA",3492,06075012700,26.7,8.6,11,16.8,25.9,14.1,7.9,18.7,5.6,24.5,1.8,2.6,2.8,4.5,8.7,6.4,4,1.4,5,64.2,81.8,62.4,82.6,81.6,88,76.6,42.2,38.2
6075012800,"San Francisco, CA",4106,06075012800,25.5,9.4,12,17.1,26,15.6,8.2,20.7,6.1,26.2,2,3.2,3.4,5.2,9.3,7.2,5.1,1.7,5.6,65,79.6,65.5,81.8,81.9,87,75.9,40.4,36.1
6075012901,"San Francisco, CA",2557,06075012901,28.9,8.1,10,15.2,25.6,11.2,7.9,15.3,4.5,20.9,1.5,2.1,2,3.6,8.8,5.4,3.4,1.1,5,62.2,82.4,57.7,79.6,81.7,88,76.3,40.8,38.6
6075012902,"San Francisco, CA",3376,06075012902,27.8,8.4,11,15.5,25.8,12.4,7.9,16.9,5.1,22,1.7,2.3,2.5,4,8.9,5.9,4.2,1.3,5.3,63,80.8,61,79.4,82.4,88,76,41.2,34.6
6075013000,"San Francisco, CA",4044,06075013000,27.6,7.7,10,15.7,25.3,13.1,7.8,17.5,5.3,23.4,1.7,2.3,2.5,4.1,8.4,5.8,3.8,1.3,4.7,63.7,81.9,62.1,81.5,82.7,88,77.4,42.7,37.8
6075013101,"San Francisco, CA",3811,06075013101,26.4,8.4,11,16.3,26.3,13.1,7.8,17.8,5.1,23.5,1.7,2.4,2.5,4.4,8.7,6.1,3.7,1.3,5.1,63.8,81.5,61.4,81.4,82.7,88,77.1,41.4,38.2
6075013102,"San Francisco, CA",2625,06075013102,24.6,7.4,10,16,25.5,15.6,7.8,20.5,6.4,26.4,1.9,2.7,3.2,5,8.1,6.4,3.9,1.6,4.5,66.4,82.1,66.8,83.9,82.1,88,77.6,42.2,37.8
6075013200,"San Francisco, CA",4162,06075013200,24,6.8,10,16.1,24.8,16.9,7.5,22.1,7.1,28.3,2,2.8,3.5,5.4,7.5,6.4,3.5,1.7,4,67.7,83.4,68.6,85.9,82.7,88,77.8,42.7,39.2
6075013300,"San Francisco, CA",4232,06075013300,20.2,8.7,13,17.9,25.7,21.5,8,27.7,8.5,32.2,2.8,4.2,5.1,7.5,8.8,8.7,6.2,2.5,5.3,70.2,77.8,73.7,86,81.2,87,74.1,38.5,33.6
6075013400,"San Francisco, CA",3599,06075013400,26.3,8.7,11,16.7,26.3,14.3,8.1,19,5.5,24.8,1.8,2.7,2.8,4.7,8.9,6.5,4.4,1.5,5.1,64.6,81,63.1,82.5,82.2,88,76.3,41.1,36.9
6075013500,"San Francisco, CA",2556,06075013500,24.6,8.9,12,17,26.4,15,8,20.4,5.8,25.9,2,2.9,3.1,5.3,9,6.9,4.4,1.6,5.5,65.4,80.3,65.4,82.5,81.7,88,76.3,41.2,36.8
6075015100,"San Francisco, CA",2493,06075015100,19.2,7.1,13,14.4,25.4,19.7,7.2,27,8.9,30.3,2.8,3.5,5.2,7.3,7.5,7.6,5.7,2.6,6,70.7,78.3,75.2,84.4,79.1,84,74.3,39,32.9
6075015200,"San Francisco, CA",3934,06075015200,20.6,9.8,15,16.8,27.4,18.1,7.9,25.5,6.8,29.3,2.7,3.7,4.6,7.7,9.5,8.6,6,2.5,7,68,75.5,71.9,82.1,81.3,86,72.5,35.8,30.6
6075015300,"San Francisco, CA",2040,06075015300,25.5,9.6,12,16.7,27,14.5,8.2,20.8,5.5,25.1,2,2.9,3.2,5.6,9.4,7.1,5.4,1.7,6.3,65.1,78.3,66.1,80.7,83,86,74.7,37.4,32.7
6075015400,"San Francisco, CA",5621,06075015400,23.1,8.5,12,16.5,26.9,15.3,7.6,21.7,5.9,26.8,2.1,2.9,3.4,6,8.7,7.1,4.5,1.8,5.5,66.3,79.7,67.3,82.7,81.8,86,73.6,38.8,34.5
6075015500,"San Francisco, CA",3622,06075015500,16.4,10.4,19,16.6,28.2,22.8,8,32.4,8.6,33.4,3.7,5.2,6.9,10.9,9.8,10.9,9.4,3.8,9.9,72,69.5,78.1,81.9,79.5,83,69.3,32.6,27.1
6075015600,"San Francisco, CA",2728,06075015600,22.5,11,15,16.3,29.2,14.3,8.2,21.2,4.8,26.6,2.2,3.4,3.5,6.7,10.6,8.2,7.7,1.9,7.7,64.9,71.4,66,78.1,80.3,82,67.2,33,29.8
6075015700,"San Francisco, CA",7832,06075015700,25.1,10.4,13,15.3,28.6,10.9,8.6,16.7,3.7,21.1,1.7,2.7,2.5,4.8,11.5,6.8,7.4,1.4,7.8,63.1,73.7,60.4,73,80.5,82,69.6,34.6,30.8
6075015801,"San Francisco, CA",3594,06075015801,20.8,13,17,22.4,31.9,17.7,9,27.8,5.3,28.7,2.8,4.2,4.3,9.2,11.5,10,9.3,2.7,8.7,68,68.6,70,80.5,82.9,85,68.2,30.9,28.2
6075015802,"San Francisco, CA",2965,06075015802,28.2,10,12,18.6,27.8,12.4,8.3,18.9,4.3,22.4,1.8,2.5,2.5,4.9,9.8,6.6,5.2,1.5,6.2,63,78.3,60.6,79.5,84,88,74.3,35.1,32.7
6075015900,"San Francisco, CA",4350,06075015900,18.4,10,16,16.9,30,17.2,7.7,26.4,6,29.4,2.7,3.8,4.6,8.7,9.6,8.8,8.2,2.6,8.2,68.6,70.6,72.5,80.2,80.2,82,69.4,34.2,30.1
6075016000,"San Francisco, CA",2465,06075016000,18.8,10.8,17,18.4,29.1,18.9,7.5,28.7,6.6,32.5,2.9,4.4,5.5,9.7,9.7,9.7,8.2,2.8,8.3,68.3,69.7,73.3,81.7,80.1,82,69,33.1,30.5
6075016100,"San Francisco, CA",5366,06075016100,14.4,14.3,24,24.9,33,25.1,9.8,38.2,7.5,35.1,4.4,7,7.8,14.5,12.8,14.2,15.2,4.9,12,73.1,59.5,78.3,80.9,81,84,65.2,28.2,24.5
6075016200,"San Francisco, CA",2541,06075016200,25.6,11.1,14,19.6,28.4,14,7.7,21.8,4.8,26,2.1,3.1,3.5,6.2,10,7.8,5.9,1.8,7.3,63.6,75.9,63,79.8,82.7,87,70.8,37.1,32.3
6075016300,"San Francisco, CA",4293,06075016300,26.7,10.6,13,19.3,29.4,12.3,8.3,19.9,4.1,22.9,1.9,2.7,2.6,5.5,10.1,7,6.6,1.6,7.2,63.7,74.4,60.9,78.9,83.4,87,71.2,34.8,30.7
6075016400,"San Francisco, CA",3778,06075016400,29.1,10.7,12,17.9,28.1,12.1,8.2,18.2,4.3,21.7,1.8,2.6,2.6,4.7,10,6.8,6.4,1.5,7.2,62.2,76.1,59.3,78.3,83.4,88,72.7,34.4,29.1
6075016500,"San Francisco, CA",5083,06075016500,25.8,10.1,12,17.9,28,13.7,8.3,19.8,5,24,2,2.9,3,5.3,10,7.2,6.1,1.7,6.3,64,76.3,63,79.6,81.8,86,72.6,36.4,32.1
6075016600,"San Francisco, CA",5069,06075016600,29.1,10.6,12,18.2,27.8,11.4,8.2,16.9,3.9,21.8,1.6,2.6,2.3,4.3,10.3,6.6,5.2,1.3,6.3,61.1,76.5,55.9,77.7,83.3,87,72.1,36.3,34.4
6075016700,"San Francisco, CA",4652,06075016700,29.5,10.2,11,18.2,27.7,11.3,8,17,3.9,21.8,1.6,2.5,2.2,4.2,9.8,6.5,4.9,1.3,6.2,61.3,78.7,55.1,79,83.3,88,73.3,37.5,34.2
6075016801,"San Francisco, CA",3218,06075016801,28.5,11,12,19.4,28.9,12,8.1,18.7,4,22.9,1.7,2.7,2.5,4.9,10.2,7.1,6.1,1.4,6.7,61.7,74.7,57.2,78.8,83.9,87,70.2,36.2,30.2
6075016802,"San Francisco, CA",3264,06075016802,26.4,13.4,15,20.9,30.1,13.5,8.5,20.9,4.1,24.7,2,3.5,3.1,5.9,11.5,8.6,8,1.8,8.5,62.3,71.4,59.3,77.8,82.6,86,68.7,33.7,30.7
6075016900,"San Francisco, CA",2924,06075016900,28.5,10.1,12,18.7,27.8,13.2,7.5,19.8,4.7,25,1.8,2.8,2.9,5.1,9.1,6.9,4.6,1.5,5.9,62.8,78.1,59.8,81.5,82.7,88,73.3,38.5,33.5
6075017000,"San Francisco, CA",3689,06075017000,26.4,8.2,11,18,26,16,7,22.9,6.4,28.7,2,2.9,3.7,5.7,7.7,6.9,4,1.7,4.7,66,81.8,65.3,85.8,82.9,88,75.1,41.7,36.3
6075017101,"San Francisco, CA",3544,06075017101,26.8,8.8,11,18.2,26.5,14.7,7.9,19.9,5.5,25.6,1.8,2.8,2.9,4.9,8.8,6.7,4,1.5,4.9,64.7,81.4,62.5,83.6,83.1,88,76.6,40.6,37.2
6075017102,"San Francisco, CA",3451,06075017102,26.9,9.8,12,18.8,27.2,13.5,8.2,18.8,4.7,24,1.8,2.7,2.6,4.7,9.7,6.9,4.2,1.4,5.3,63.1,79.9,59.9,81.1,83.7,88,74.7,38.4,35
6075017601,"San Francisco, CA",7630,06075017601,19.5,15.7,20,22.3,34.8,17.2,8.1,29.2,4.6,31.5,2.9,4.9,5.2,10.9,12.1,11.8,12.9,2.9,11.2,66.2,57.9,68.9,78.9,79.8,80,58.2,26.5,24.5
6075017700,"San Francisco, CA",2128,06075017700,26.9,12.7,15,20.5,31.2,12.2,7.7,20.3,3.8,24.7,2,3,3,6.3,10.7,8.3,8.5,1.6,10.5,61.8,66.6,58,78.1,81.2,85,63.8,31.1,27.4
6075017801,"San Francisco, CA",3499,06075017801,9,11.6,29,15.2,30,29.8,7.3,45.5,10,44,5.9,7.8,11.9,20.9,9.6,16.1,16.2,6.7,13.5,77.8,54.7,85.5,84.9,73.1,78,59.9,24.8,21.9
6075017802,"San Francisco, CA",4516,06075017802,22.8,15.9,19,23,32.8,15.1,8.2,25.5,4.2,28.2,2.5,4.4,4.3,8.6,12.5,10.8,10.5,2.4,10.7,63.2,63.5,63.7,76.7,79.9,83,62.3,29.1,28
6075017902,"San Francisco, CA",2880,06075017902,22.3,20.1,22,25,36.5,11,10.1,20.3,2.3,20.9,2.2,4.4,2.7,6.3,17.8,11.6,18.7,1.9,15.8,60.2,48.7,50.1,64.8,81.7,82,52,23.5,20.4
6075018000,"San Francisco, CA",4221,06075018000,26.2,14.2,16,22.7,33.2,12,7.9,21.9,3.4,23.8,1.9,3.2,2.9,6.2,11.2,8.6,8.9,1.7,9.7,62.4,66.5,56.4,77.6,82.9,85,64.3,31,30.1
6075020100,"San Francisco, CA",6172,06075020100,22.2,15.5,20,24.1,32.5,16,8.2,26.4,4.5,29.3,2.8,4.6,4.7,9.8,12.6,11.8,12.9,2.6,14.8,63.6,58.3,64.7,77.2,79.6,84,58.9,27,23.6
6075020200,"San Francisco, CA",6269,06075020200,24.2,12.6,16,20.8,29.4,14.7,8,22.8,4.8,26.8,2.3,3.6,3.8,7.2,11,9.1,7.4,2,9.5,63.6,70.3,63.3,78.8,81.9,86,67.1,33,28.3
6075020300,"San Francisco, CA",3034,06075020300,27.5,10.2,12,18.9,28,12.8,7.5,19.5,4.5,24.8,1.8,2.8,2.9,5.2,9.4,7.1,4.9,1.5,6.5,62.2,76.9,58.9,80.6,82.7,87,72.3,37.3,33.1
6075020401,"San Francisco, CA",2846,06075020401,26.6,10.1,12,19,27.6,15.5,7.4,22.3,5.6,27.9,2,3.2,3.5,5.8,8.9,7.6,4.9,1.7,5.6,64.7,79,63,84.1,81.9,87,73.2,39.8,36.1
6075020402,"San Francisco, CA",3997,06075020402,25.9,9.6,12,18.6,28.2,15.2,7.2,22.4,5.5,27.9,2,3.1,3.4,6,8.6,7.4,5,1.7,5.9,65.2,77.8,63.5,84.2,82.2,86,72.5,39.2,35.8
6075020500,"San Francisco, CA",2583,06075020500,28,9,11,18.5,27,14.8,7.1,21.8,5.5,27.6,1.9,2.9,3.4,5.5,8.2,7,4.2,1.6,4.9,64.5,80.3,62.5,84.5,83.1,88,74.4,40.1,35.9
6075020600,"San Francisco, CA",4711,06075020600,27.3,9.7,12,19.2,27.2,14.5,7.3,21.4,5.3,26.9,1.9,3,3.3,5.5,8.8,7.3,4.6,1.6,5.7,63.9,79,61.6,83.4,82.3,88,72.7,39.7,35.9
6075020700,"San Francisco, CA",5171,06075020700,27.5,9,11,17.9,27,12.3,7.6,18.1,4.5,23.6,1.8,2.4,2.5,4.8,8.9,6.5,4,1.3,5.9,62.8,79.1,58.7,81.4,83.1,88,73.4,37.8,33.2
6075020800,"San Francisco, CA",6577,06075020800,25.7,12.1,16,20.1,30.3,12.4,7.7,20.2,4,25,2.1,3,3.1,6.9,10.8,8.7,9.6,1.7,13.4,62.1,65.2,59.3,77.4,80.5,85,63.3,29.7,27
6075020900,"San Francisco, CA",4372,06075020900,23.5,13.3,18,22.3,30.5,13.9,8.2,22,4.2,26.4,2.4,3.5,3.5,8,12.1,10,9,1.9,13.3,62.8,65.1,61.1,77.3,81.2,85,62.4,29.4,26.1
6075021000,"San Francisco, CA",4196,06075021000,27.3,9.1,12,18.3,27.7,12.2,7.6,18,4.4,23.5,1.7,2.4,2.5,4.9,9.1,6.5,4.4,1.3,6.3,62.7,77.5,58.7,80.9,83.2,88,72.8,36.7,33.1
6075021100,"San Francisco, CA",3853,06075021100,26.3,9.1,11,17.9,26.7,14.9,7.8,20.2,5.6,26.1,1.9,2.9,3,5.1,8.8,7,4,1.5,5.2,64.8,81,62.7,83.8,83,88,75.7,41,36.6
6075021200,"San Francisco, CA",2779,06075021200,25.4,7.9,11,17.8,25.9,15.8,7.5,21.5,6,27.8,1.9,2.8,3.2,5.4,8.1,6.8,3.5,1.6,4.4,66.1,82.2,64.7,85.7,83.4,88,75.4,41.1,37.2
6075021300,"San Francisco, CA",2474,06075021300,25.9,8,10,17.5,26,15.1,7.6,20.3,5.8,26.7,1.8,2.7,3,5,8.2,6.6,3.6,1.5,4.6,65.6,82.7,63.1,85.3,83.3,88,76.4,41.7,38.1
6075021400,"San Francisco, CA",3264,06075021400,26,9.1,11,17.9,26.7,14.3,7.8,19.5,5.2,25.6,1.8,2.8,2.8,5.1,8.9,6.9,4,1.5,5.5,64.4,81,61.6,83.4,83,88,75.4,40.4,36.6
6075021500,"San Francisco, CA",5096,06075021500,25.5,9.5,12,18.6,26.6,14.2,7.9,19.8,5.1,25.4,1.9,2.8,2.9,5.4,9.4,7.3,3.4,1.5,6.3,64.4,81.6,61.5,82.8,83.3,89,74.7,39,35.4
6075021600,"San Francisco, CA",3836,06075021600,22.4,8.9,13,18,27.3,17.4,7.4,25.1,6.5,30.2,2.3,3.4,4,7.2,8.3,7.9,4.7,2,5.7,68.2,79.6,68.6,86,82.1,87,73.5,39.1,35.4
6075021700,"San Francisco, CA",3948,06075021700,19.4,9.2,14,19.3,27.8,20.5,7.8,28.9,7.4,32.9,2.8,4,4.8,8.9,8.7,9.1,5.7,2.5,6.1,70.9,77,73,87,81.8,86,72.8,36.9,33.6
6075021800,"San Francisco, CA",3840,06075021800,24,9.3,12,18.8,27,16.9,7.9,22.7,6.1,28.6,2.1,3.3,3.5,6.2,8.9,7.7,4.3,1.8,5.6,66.8,80.7,65.8,85.4,82.6,88,74.8,39.6,36.3
6075022600,"San Francisco, CA",1534,06075022600,29.6,9,10,17.7,27.6,10.7,7.4,16,3.8,21.6,1.4,2.1,1.8,3.7,8.5,5.8,3.1,1,5.1,61.7,81.9,52.1,82.2,84.2,89,73.6,41.4,38.1
6075022702,"San Francisco, CA",2060,06075022702,26.6,8.5,11,17.3,26.5,13.8,7.5,19.5,5.3,25.2,1.8,2.5,2.8,5,8.3,6.5,3.6,1.4,5.3,64.6,81.8,61.8,83.8,83,88,75.3,39.5,35.3
6075022704,"San Francisco, CA",3122,06075022704,26,8.9,11,17.5,27,14.3,7.5,20,5.5,25.9,1.8,2.7,3,5,8.5,6.7,4.2,1.5,5.2,64.7,80.7,62.2,83.8,82.7,88,74.5,40.5,36.6
