Zip Code,totalPop,whiteAlonePop,blackAlonePop,nativeAlonePop,asianAlonePop,hawaiiAlonePop,otherAlonePop,twoOrMorePop
601,18570,17285,572,65,5,1,402,240
602,41520,35980,2210,129,22,0,2181,998
603,54689,45348,4141,140,85,4,3614,1357
606,6615,5883,314,27,3,8,280,100
610,29016,23796,2083,100,37,4,2175,821
612,67010,56488,4130,241,79,6,3964,2102
616,11017,9339,786,38,4,0,670,180
617,24597,19831,1885,81,30,0,2159,611
622,7853,6738,393,13,3,2,483,221
623,43061,36075,2365,130,35,7,3200,1249
624,26241,21462,2354,107,42,0,1826,450
627,35159,30900,1452,112,35,1,1826,833
631,1852,1724,41,4,0,5,40,38
637,25287,21566,1387,93,8,2,1587,644
638,18941,16920,797,22,5,0,810,387
641,31191,28929,793,68,24,9,934,434
646,38199,26576,5988,259,90,1,3813,1472
647,6172,5227,338,37,1,0,400,169
650,14998,13595,686,42,8,1,405,261
652,4715,3992,315,20,2,0,253,133
653,13307,10348,1167,64,6,1,1360,361
656,21481,17594,1790,94,12,1,1552,438
659,41953,36608,1855,89,43,0,2483,875
660,17250,14000,1438,70,16,0,1267,459
662,43282,35982,3369,146,57,5,2483,1240
664,16784,15223,576,64,12,1,598,310
667,25968,20941,1361,63,23,4,3116,460
669,29744,27078,906,74,22,3,1043,618
670,9807,8430,515,44,1,1,663,153
674,44457,36402,3861,222,44,2,2792,1134
676,40316,36071,1802,63,32,5,1492,851
677,15272,13092,813,82,27,5,854,399
678,27819,24788,1006,37,43,1,1312,632
680,58140,45972,4681,512,80,9,4677,2209
682,32615,25550,2730,167,110,2,3119,937
683,33772,28118,1917,129,40,4,2847,717
685,42831,37907,1281,129,31,0,2460,1023
687,32610,28828,1689,75,26,5,1127,860
688,13543,11556,639,45,18,0,966,319
690,6255,5238,374,14,14,0,511,104
692,37511,26650,5620,269,68,6,3745,1153
693,61038,47096,6959,283,73,6,5104,1517
694,328,184,129,0,0,0,9,6
698,41782,34681,2484,143,35,5,3310,1124
703,28605,20797,3554,181,20,5,2776,1272
704,8577,5593,1599,42,9,0,1088,246
705,25598,21338,1864,52,9,5,1795,535
707,12225,5851,3720,99,18,4,1988,545
714,19566,10462,6353,170,31,5,1859,686
715,3656,2604,759,22,1,0,190,80
716,33779,27914,3233,170,136,9,1614,703
717,18457,14646,1990,115,32,0,1270,404
718,26606,18918,4233,116,50,0,2465,824
719,30990,26053,1880,146,23,2,1862,1024
720,23129,20022,1445,100,18,6,1009,529
723,19277,11902,3835,110,14,4,2750,662
725,89374,67829,10507,553,166,9,6929,3381
727,58382,44570,5735,336,110,2,5661,1968
728,44908,36771,3728,192,53,1,2706,1457
729,53750,32625,12196,463,86,4,6926,1450
730,35742,29674,2957,190,35,5,2202,679
731,15524,13074,1042,58,24,0,961,365
735,13730,9703,2253,97,19,3,1040,615
736,51532,40864,4306,193,68,12,4449,1640
738,34922,22890,6439,241,90,1,3579,1682
739,39678,30598,3215,158,36,0,4259,1412
740,2071,1074,425,17,5,3,243,304
741,4971,2677,1020,32,6,0,1037,199
745,55062,34172,13449,358,130,7,5168,1778
751,23129,15751,3591,143,25,4,2557,1058
754,40828,31122,3993,308,35,1,3320,2049
757,23263,16989,3636,106,14,3,1940,575
765,9098,5348,2568,56,6,1,670,449
766,26488,21785,2229,65,11,0,1641,757
767,38019,24920,5373,177,57,1,4309,3182
769,40248,30906,4204,128,24,6,3675,1305
771,38394,27035,4549,184,40,5,3985,2596
772,23105,3889,17308,112,29,0,1235,532
773,20068,13153,4166,186,36,1,1751,775
775,1786,1008,478,16,4,0,68,212
777,40684,29174,5549,192,29,0,3347,2393
778,45429,32884,6642,192,48,9,2939,2715
780,13800,11424,1194,26,13,0,793,350
782,19304,15163,1687,111,19,4,1680,640
783,36557,31221,1934,76,24,2,2696,604
784,44637,30468,8296,378,59,12,3092,2332
786,357,333,15,0,0,0,8,1
791,53417,35957,9747,453,118,2,4646,2494
794,30585,26306,1640,82,14,0,1976,567
795,48736,36650,6952,230,43,5,3654,1202
901,7080,5173,1229,27,26,0,462,163
906,4,0,0,0,2,0,0,2
907,17458,12897,2328,157,188,4,1295,589
909,6230,3437,1463,72,28,0,526,704
911,8623,6265,1290,84,106,0,578,300
912,6801,3871,2109,70,42,0,406,303
913,9312,5626,2506,65,11,0,898,206
915,32820,16634,10657,433,205,5,3393,1493
917,21053,13972,3882,182,129,0,1873,1015
918,18056,13615,2271,106,79,3,1444,538
920,17893,11911,3523,161,62,0,1462,774
921,37763,25435,7430,311,116,6,2570,1895
923,29086,17714,6423,235,136,2,3353,1223
924,56691,37013,12384,592,213,3,4432,2054
925,8696,4746,1828,86,103,0,1455,478
926,108862,82144,14126,529,272,10,7983,3798
927,14936,11911,1256,54,31,3,1078,603
934,288,199,43,1,3,0,30,12
936,681,344,337,0,0,0,0,0
949,82278,59041,12736,480,243,2,6984,2792
950,9,0,2,0,0,0,7,0
951,35,24,8,0,0,0,3,0
952,10008,6186,2500,52,13,0,860,397
953,73014,55735,7007,286,94,9,7400,2483
956,79304,61902,7535,447,124,9,6421,2866
957,45680,36199,4558,356,113,8,3108,1338
959,50560,39800,5127,252,140,6,3506,1729
960,1779,1194,509,0,0,0,50,26
961,32429,25002,3851,135,98,1,2260,1082
962,22491,15512,3450,229,42,1,2662,595
965,9134,5993,1768,121,25,2,884,341
966,16676,14483,953,51,25,7,729,428
968,3478,3177,110,6,23,0,108,54
969,42219,35238,2851,132,123,2,2591,1282
971,30986,23044,3824,122,46,2,2781,1167
976,65136,46515,9883,498,151,11,6057,2021
979,17030,12944,2248,126,136,2,1033,541
982,16428,10416,4150,139,49,1,1175,498
983,39234,24428,9854,319,126,4,3450,1053
985,36553,22421,9501,457,118,3,2852,1201
987,63661,41135,13715,404,193,3,5897,2314
1001,16769,15704,310,28,357,0,141,229
1002,29049,22597,1444,79,2971,12,729,1217
1003,10372,7979,630,15,1195,1,180,372
1005,5079,4890,60,10,27,0,21,71
1007,14649,13741,199,21,305,8,115,260
1008,1263,1243,4,2,4,0,2,8
1009,741,712,4,1,3,0,12,9
1010,3609,3492,28,10,17,2,4,56
1011,1370,1345,0,0,11,0,0,14
1012,661,644,2,1,5,0,1,8
1013,23188,19351,964,122,245,17,1846,643
1020,29668,26715,772,71,457,16,1085,552
1022,2451,1942,317,11,35,3,85,58
1026,946,926,3,0,2,0,6,9
1027,17660,16602,177,33,388,4,188,268
1028,15720,14858,222,11,377,0,75,177
1029,789,772,2,1,5,0,0,9
1030,11669,11195,116,17,145,0,71,125
1031,1308,1267,11,7,1,2,7,13
1032,570,555,2,2,2,0,0,9
1033,6227,6008,25,15,69,1,40,69
1034,2021,1954,15,10,6,0,8,28
1035,5250,4799,102,9,213,1,41,85
1036,5109,4938,25,3,70,1,21,51
1037,838,808,9,1,2,0,3,15
1038,2545,2485,10,3,15,0,17,15
1039,1336,1304,5,1,14,0,0,12
1040,39880,26329,1867,301,428,27,9374,1554
1050,2530,2458,10,5,4,2,10,41
1053,1685,1557,47,4,21,1,27,28
1054,1851,1722,22,3,30,0,9,65
1056,21103,19828,514,25,171,8,271,286
1057,8534,8265,70,18,52,0,17,112
1060,15284,13111,477,37,780,4,428,447
1062,11150,10058,224,41,290,9,244,284
1063,430,299,28,1,71,0,9,22
1066,64,64,0,0,0,0,0,0
1068,1902,1856,12,0,8,1,5,20
1069,8469,8097,105,14,78,0,41,134
1070,629,605,14,1,4,0,2,3
1071,1596,1558,13,3,5,0,2,15
1072,1478,1357,30,10,16,0,8,57
1073,5792,5638,22,5,33,0,25,69
1074,319,314,0,2,2,0,0,1
1075,17527,15783,393,23,706,9,223,390
1077,9502,9157,85,24,77,3,37,119
1079,692,659,3,4,1,0,0,25
1080,2334,2224,26,5,25,0,18,36
1081,1698,1640,17,4,3,0,8,26
1082,10322,9726,109,30,74,0,137,246
1083,2888,2796,22,2,7,1,12,48
1084,176,170,0,0,0,1,2,3
1085,41117,38164,648,107,530,10,902,756
1086,687,643,15,2,7,0,7,13
1088,670,647,12,0,2,0,0,9
1089,28391,24508,939,65,1253,14,960,652
1092,1394,1345,4,6,10,1,6,22
1093,325,319,3,0,0,0,0,3
1094,351,343,1,1,0,0,1,5
1095,14319,13464,309,10,286,1,77,172
1096,2217,2162,4,2,7,0,16,26
1097,111,109,0,0,0,0,0,2
1098,1101,1071,1,0,10,0,0,19
1103,2479,1191,450,24,63,1,624,126
1104,22865,12987,3107,180,347,14,5101,1129
1105,12350,4643,2909,142,127,9,3894,626
1106,16021,14798,179,5,759,3,76,201
1107,11611,4975,1329,98,58,16,4408,727
1108,26688,13278,5122,161,1596,24,5249,1258
1109,30250,10179,13140,205,340,31,4814,1541
1118,14071,10473,1990,25,527,10,566,480
1119,14152,8926,3050,77,243,11,1297,548
1128,2631,2144,267,4,81,4,68,63
1129,7019,4912,1215,30,193,3,407,259
1151,8698,5407,1482,41,139,5,1182,442
1199,0,0,0,0,0,0,0,0
1201,46504,41224,2378,94,562,7,882,1357
1220,8603,8344,56,15,42,2,19,125
1222,829,799,14,1,0,0,5,10
1223,2314,2250,11,5,8,0,19,21
1224,182,170,1,0,8,0,0,3
1225,3117,3049,15,5,12,0,7,29
1226,6945,6725,49,3,54,1,37,76
1229,95,93,1,0,0,0,0,1
